codice_scuola|tipo_assenza|scuola|regionale|nazione
"AGIC81000E"|"Altri"|18|5|4
"AGIC81000E"|"Maternità"|24|4|6
"AGIC81000E"|"malattia"|20|10|8
"AGIC812006"|"Altri"|3|5|4
"AGIC812006"|"Maternità"|3|4|6
"AGIC812006"|"malattia"|6|10|8
"AGIC813002"|"Altri"|4|5|4
"AGIC813002"|"Maternità"|1|4|6
"AGIC813002"|"malattia"|10|10|8
"AGIC81400T"|"Altri"|9|5|4
"AGIC81400T"|"Maternità"|7|4|6
"AGIC81400T"|"malattia"|7|10|8
"AGIC81500N"|"Altri"|3|5|4
"AGIC81500N"|"Maternità"|6|4|6
"AGIC81500N"|"malattia"|13|10|8
"AGIC817009"|"Altri"|5|5|4
"AGIC817009"|"Maternità"|3|4|6
"AGIC817009"|"malattia"|13|10|8
"AGIC818005"|"Altri"|6|5|4
"AGIC818005"|"Maternità"|6|4|6
"AGIC818005"|"malattia"|12|10|8
"AGIC819001"|"Altri"|4|5|4
"AGIC819001"|"Maternità"|2|4|6
"AGIC819001"|"malattia"|11|10|8
"AGIC820005"|"Altri"|4|5|4
"AGIC820005"|"Maternità"|6|4|6
"AGIC820005"|"malattia"|15|10|8
"AGIC821001"|"Altri"|3|5|4
"AGIC821001"|"Maternità"|13|4|6
"AGIC821001"|"malattia"|17|10|8
"AGIC82200R"|"Altri"|3|5|4
"AGIC82200R"|"Maternità"|1|4|6
"AGIC82200R"|"malattia"|16|10|8
"AGIC82300L"|"Altri"|3|5|4
"AGIC82300L"|"Maternità"|3|4|6
"AGIC82300L"|"malattia"|12|10|8
"AGIC82400C"|"Altri"|5|5|4
"AGIC82400C"|"Maternità"|4|4|6
"AGIC82400C"|"malattia"|12|10|8
"AGIC825008"|"Altri"|9|5|4
"AGIC825008"|"Maternità"|1|4|6
"AGIC825008"|"malattia"|18|10|8
"AGIC826004"|"Altri"|9|5|4
"AGIC826004"|"Maternità"|5|4|6
"AGIC826004"|"malattia"|12|10|8
"AGIC82700X"|"Altri"|4|5|4
"AGIC82700X"|"Maternità"|7|4|6
"AGIC82700X"|"malattia"|6|10|8
"AGIC82800Q"|"Altri"|3|5|4
"AGIC82800Q"|"Maternità"|1|4|6
"AGIC82800Q"|"malattia"|6|10|8
"AGIC82900G"|"Altri"|4|5|4
"AGIC82900G"|"Maternità"|3|4|6
"AGIC82900G"|"malattia"|13|10|8
"AGIC83000Q"|"Altri"|5|5|4
"AGIC83000Q"|"Maternità"|2|4|6
"AGIC83000Q"|"malattia"|12|10|8
"AGIC83100G"|"Altri"|4|5|4
"AGIC83100G"|"Maternità"|9|4|6
"AGIC83100G"|"malattia"|11|10|8
"AGIC83200B"|"Altri"|5|5|4
"AGIC83200B"|"Maternità"|4|4|6
"AGIC83200B"|"malattia"|11|10|8
"AGIC833007"|"Altri"|4|5|4
"AGIC833007"|"Maternità"|6|4|6
"AGIC833007"|"malattia"|10|10|8
"AGIC834003"|"Altri"|7|5|4
"AGIC834003"|"Maternità"|4|4|6
"AGIC834003"|"malattia"|13|10|8
"AGIC83500V"|"Altri"|5|5|4
"AGIC83500V"|"Maternità"|9|4|6
"AGIC83500V"|"malattia"|15|10|8
"AGIC83600P"|"Altri"|10|5|4
"AGIC83600P"|"Maternità"|3|4|6
"AGIC83600P"|"malattia"|15|10|8
"AGIC83700E"|"Altri"|3|5|4
"AGIC83700E"|"Maternità"|4|4|6
"AGIC83700E"|"malattia"|12|10|8
"AGIC83800A"|"Altri"|5|5|4
"AGIC83800A"|"Maternità"|2|4|6
"AGIC83800A"|"malattia"|13|10|8
"AGIC839006"|"Altri"|3|5|4
"AGIC839006"|"Maternità"|1|4|6
"AGIC839006"|"malattia"|13|10|8
"AGIC84000A"|"Altri"|5|5|4
"AGIC84000A"|"Maternità"|0|4|6
"AGIC84000A"|"malattia"|8|10|8
"AGIC841006"|"Altri"|6|5|4
"AGIC841006"|"Maternità"|0|4|6
"AGIC841006"|"malattia"|7|10|8
"AGIC842002"|"Altri"|3|5|4
"AGIC842002"|"Maternità"|4|4|6
"AGIC842002"|"malattia"|11|10|8
"AGIC84300T"|"Altri"|5|5|4
"AGIC84300T"|"Maternità"|5|4|6
"AGIC84300T"|"malattia"|8|10|8
"AGIC84400N"|"Altri"|4|5|4
"AGIC84400N"|"Maternità"|1|4|6
"AGIC84400N"|"malattia"|11|10|8
"AGIC84500D"|"Altri"|9|5|4
"AGIC84500D"|"Maternità"|4|4|6
"AGIC84500D"|"malattia"|10|10|8
"AGIC846009"|"Altri"|2|5|4
"AGIC846009"|"Maternità"|1|4|6
"AGIC846009"|"malattia"|8|10|8
"AGIC847005"|"Altri"|4|5|4
"AGIC847005"|"Maternità"|0|4|6
"AGIC847005"|"malattia"|9|10|8
"AGIC848001"|"Altri"|3|5|4
"AGIC848001"|"Maternità"|4|4|6
"AGIC848001"|"malattia"|11|10|8
"AGIC84900R"|"Altri"|11|5|4
"AGIC84900R"|"Maternità"|10|4|6
"AGIC84900R"|"malattia"|8|10|8
"AGIC850001"|"Altri"|5|5|4
"AGIC850001"|"Maternità"|7|4|6
"AGIC850001"|"malattia"|11|10|8
"AGIC85100R"|"Altri"|4|5|4
"AGIC85100R"|"Maternità"|2|4|6
"AGIC85100R"|"malattia"|9|10|8
"AGIC85200L"|"Altri"|4|5|4
"AGIC85200L"|"Maternità"|0|4|6
"AGIC85200L"|"malattia"|12|10|8
"AGIS00100X"|"Altri"|3|5|4
"AGIS00100X"|"Maternità"|3|4|6
"AGIS00100X"|"malattia"|8|10|8
"AGIS00200Q"|"Altri"|2|5|4
"AGIS00200Q"|"Maternità"|2|4|6
"AGIS00200Q"|"malattia"|8|10|8
"AGIS00300G"|"Altri"|4|5|4
"AGIS00300G"|"Maternità"|7|4|6
"AGIS00300G"|"malattia"|7|10|8
"AGIS006003"|"Altri"|5|5|4
"AGIS006003"|"Maternità"|7|4|6
"AGIS006003"|"malattia"|13|10|8
"AGIS00800P"|"Altri"|4|5|4
"AGIS00800P"|"Maternità"|9|4|6
"AGIS00800P"|"malattia"|6|10|8
"AGIS01100E"|"Altri"|4|5|4
"AGIS01100E"|"Maternità"|7|4|6
"AGIS01100E"|"malattia"|9|10|8
"AGIS01200A"|"Altri"|6|5|4
"AGIS01200A"|"Maternità"|2|4|6
"AGIS01200A"|"malattia"|10|10|8
"AGIS013006"|"Altri"|4|5|4
"AGIS013006"|"Maternità"|2|4|6
"AGIS013006"|"malattia"|12|10|8
"AGIS014002"|"Altri"|10|5|4
"AGIS014002"|"Maternità"|3|4|6
"AGIS014002"|"malattia"|10|10|8
"AGIS01600N"|"Altri"|2|5|4
"AGIS01600N"|"Maternità"|0|4|6
"AGIS01600N"|"malattia"|7|10|8
"AGMM004008"|"Altri"|5|5|4
"AGMM004008"|"Maternità"|4|4|6
"AGMM004008"|"malattia"|17|10|8
"AGMM01500P"|"Altri"|2|5|4
"AGMM01500P"|"Maternità"|2|4|6
"AGMM01500P"|"malattia"|10|10|8
"AGMM03800B"|"Altri"|5|5|4
"AGMM03800B"|"Maternità"|1|4|6
"AGMM03800B"|"malattia"|9|10|8
"AGMM054009"|"Altri"|2|5|4
"AGMM054009"|"Maternità"|2|4|6
"AGMM054009"|"malattia"|16|10|8
"AGMM06700B"|"Altri"|3|5|4
"AGMM06700B"|"Maternità"|1|4|6
"AGMM06700B"|"malattia"|5|10|8
"AGMM07200V"|"Altri"|2|5|4
"AGMM07200V"|"Maternità"|1|4|6
"AGMM07200V"|"malattia"|10|10|8
"AGPC010001"|"Altri"|9|5|4
"AGPC010001"|"Maternità"|1|4|6
"AGPC010001"|"malattia"|10|10|8
"AGPC02000G"|"Altri"|2|5|4
"AGPC02000G"|"Maternità"|0|4|6
"AGPC02000G"|"malattia"|7|10|8
"AGPC060002"|"Altri"|3|5|4
"AGPC060002"|"Maternità"|4|4|6
"AGPC060002"|"malattia"|9|10|8
"AGPM010005"|"Altri"|7|5|4
"AGPM010005"|"Maternità"|8|4|6
"AGPM010005"|"malattia"|12|10|8
"AGPM02000Q"|"Altri"|4|5|4
"AGPM02000Q"|"Maternità"|4|4|6
"AGPM02000Q"|"malattia"|9|10|8
"AGPM03000A"|"Altri"|2|5|4
"AGPM03000A"|"Maternità"|0|4|6
"AGPM03000A"|"malattia"|10|10|8
"AGPM060006"|"Altri"|2|5|4
"AGPM060006"|"Maternità"|0|4|6
"AGPM060006"|"malattia"|11|10|8
"AGPS02000P"|"Altri"|2|5|4
"AGPS02000P"|"Maternità"|1|4|6
"AGPS02000P"|"malattia"|7|10|8
"AGPS030009"|"Altri"|5|5|4
"AGPS030009"|"Maternità"|2|4|6
"AGPS030009"|"malattia"|10|10|8
"AGPS05000E"|"Altri"|6|5|4
"AGPS05000E"|"Maternità"|4|4|6
"AGPS05000E"|"malattia"|8|10|8
"AGPS060005"|"Altri"|4|5|4
"AGPS060005"|"Maternità"|5|4|6
"AGPS060005"|"malattia"|5|10|8
"AGPS08000A"|"Altri"|0|5|4
"AGPS08000A"|"Maternità"|0|4|6
"AGPS08000A"|"malattia"|0|10|8
"AGRC01000L"|"Altri"|3|5|4
"AGRC01000L"|"Maternità"|0|4|6
"AGRC01000L"|"malattia"|12|10|8
"AGRH02000C"|"Altri"|4|5|4
"AGRH02000C"|"Maternità"|0|4|6
"AGRH02000C"|"malattia"|15|10|8
"AGRI010009"|"Altri"|4|5|4
"AGRI010009"|"Maternità"|1|4|6
"AGRI010009"|"malattia"|11|10|8
"AGRI02000X"|"Altri"|4|5|4
"AGRI02000X"|"Maternità"|8|4|6
"AGRI02000X"|"malattia"|5|10|8
"AGRI040005"|"Altri"|7|5|4
"AGRI040005"|"Maternità"|2|4|6
"AGRI040005"|"malattia"|16|10|8
"AGRI090006"|"Altri"|12|5|4
"AGRI090006"|"Maternità"|0|4|6
"AGRI090006"|"malattia"|8|10|8
"AGSD01000E"|"Altri"|2|5|4
"AGSD01000E"|"Maternità"|6|4|6
"AGSD01000E"|"malattia"|8|10|8
"AGTD02000E"|"Altri"|5|5|4
"AGTD02000E"|"Maternità"|1|4|6
"AGTD02000E"|"malattia"|10|10|8
"AGTD030005"|"Altri"|3|5|4
"AGTD030005"|"Maternità"|3|4|6
"AGTD030005"|"malattia"|15|10|8
"AGTD09000R"|"Altri"|7|5|4
"AGTD09000R"|"Maternità"|1|4|6
"AGTD09000R"|"malattia"|14|10|8
"ALEE00100C"|"Altri"|3|4|4
"ALEE00100C"|"Maternità"|4|6|6
"ALEE00100C"|"malattia"|8|6|8
"ALEE003004"|"Altri"|2|4|4
"ALEE003004"|"Maternità"|6|6|6
"ALEE003004"|"malattia"|9|6|8
"ALEE00400X"|"Altri"|3|4|4
"ALEE00400X"|"Maternità"|11|6|6
"ALEE00400X"|"malattia"|14|6|8
"ALEE00700B"|"Altri"|3|4|4
"ALEE00700B"|"Maternità"|17|6|6
"ALEE00700B"|"malattia"|10|6|8
"ALEE010007"|"Altri"|3|4|4
"ALEE010007"|"Maternità"|9|6|6
"ALEE010007"|"malattia"|13|6|8
"ALEE011003"|"Altri"|2|4|4
"ALEE011003"|"Maternità"|8|6|6
"ALEE011003"|"malattia"|7|6|8
"ALEE01400E"|"Altri"|5|4|4
"ALEE01400E"|"Maternità"|4|6|6
"ALEE01400E"|"malattia"|5|6|8
"ALEE016006"|"Altri"|3|4|4
"ALEE016006"|"Maternità"|2|6|6
"ALEE016006"|"malattia"|5|6|8
"ALEE017002"|"Altri"|1|4|4
"ALEE017002"|"Maternità"|9|6|6
"ALEE017002"|"malattia"|6|6|8
"ALEE023009"|"Altri"|3|4|4
"ALEE023009"|"Maternità"|4|6|6
"ALEE023009"|"malattia"|8|6|8
"ALEE024005"|"Altri"|9|4|4
"ALEE024005"|"Maternità"|10|6|6
"ALEE024005"|"malattia"|13|6|8
"ALEE025001"|"Altri"|1|4|4
"ALEE025001"|"Maternità"|12|6|6
"ALEE025001"|"malattia"|3|6|8
"ALEE02700L"|"Altri"|3|4|4
"ALEE02700L"|"Maternità"|4|6|6
"ALEE02700L"|"malattia"|7|6|8
"ALEE03300X"|"Altri"|6|4|4
"ALEE03300X"|"Maternità"|3|6|6
"ALEE03300X"|"malattia"|7|6|8
"ALEE03400Q"|"Altri"|3|4|4
"ALEE03400Q"|"Maternità"|7|6|6
"ALEE03400Q"|"malattia"|6|6|8
"ALEE03500G"|"Altri"|2|4|4
"ALEE03500G"|"Maternità"|13|6|6
"ALEE03500G"|"malattia"|12|6|8
"ALEE03600B"|"Altri"|6|4|4
"ALEE03600B"|"Maternità"|14|6|6
"ALEE03600B"|"malattia"|10|6|8
"ALEE037007"|"Altri"|4|4|4
"ALEE037007"|"Maternità"|9|6|6
"ALEE037007"|"malattia"|10|6|8
"ALIC80500N"|"Altri"|3|4|4
"ALIC80500N"|"Maternità"|11|6|6
"ALIC80500N"|"malattia"|6|6|8
"ALIC80600D"|"Altri"|2|4|4
"ALIC80600D"|"Maternità"|13|6|6
"ALIC80600D"|"malattia"|7|6|8
"ALIC807009"|"Altri"|4|4|4
"ALIC807009"|"Maternità"|7|6|6
"ALIC807009"|"malattia"|6|6|8
"ALIC808005"|"Altri"|2|4|4
"ALIC808005"|"Maternità"|4|6|6
"ALIC808005"|"malattia"|5|6|8
"ALIC809001"|"Altri"|2|4|4
"ALIC809001"|"Maternità"|7|6|6
"ALIC809001"|"malattia"|2|6|8
"ALIC810005"|"Altri"|2|4|4
"ALIC810005"|"Maternità"|3|6|6
"ALIC810005"|"malattia"|6|6|8
"ALIC811001"|"Altri"|2|4|4
"ALIC811001"|"Maternità"|15|6|6
"ALIC811001"|"malattia"|5|6|8
"ALIC81200R"|"Altri"|3|4|4
"ALIC81200R"|"Maternità"|15|6|6
"ALIC81200R"|"malattia"|9|6|8
"ALIC81300L"|"Altri"|3|4|4
"ALIC81300L"|"Maternità"|4|6|6
"ALIC81300L"|"malattia"|8|6|8
"ALIC81400C"|"Altri"|2|4|4
"ALIC81400C"|"Maternità"|4|6|6
"ALIC81400C"|"malattia"|7|6|8
"ALIC815008"|"Altri"|3|4|4
"ALIC815008"|"Maternità"|3|6|6
"ALIC815008"|"malattia"|7|6|8
"ALIC816004"|"Altri"|4|4|4
"ALIC816004"|"Maternità"|10|6|6
"ALIC816004"|"malattia"|5|6|8
"ALIC81700X"|"Altri"|2|4|4
"ALIC81700X"|"Maternità"|9|6|6
"ALIC81700X"|"malattia"|12|6|8
"ALIC81800Q"|"Altri"|2|4|4
"ALIC81800Q"|"Maternità"|9|6|6
"ALIC81800Q"|"malattia"|3|6|8
"ALIC81900G"|"Altri"|3|4|4
"ALIC81900G"|"Maternità"|2|6|6
"ALIC81900G"|"malattia"|8|6|8
"ALIC82000Q"|"Altri"|6|4|4
"ALIC82000Q"|"Maternità"|7|6|6
"ALIC82000Q"|"malattia"|3|6|8
"ALIC82100G"|"Altri"|2|4|4
"ALIC82100G"|"Maternità"|3|6|6
"ALIC82100G"|"malattia"|5|6|8
"ALIC82200B"|"Altri"|2|4|4
"ALIC82200B"|"Maternità"|18|6|6
"ALIC82200B"|"malattia"|9|6|8
"ALIC823007"|"Altri"|5|4|4
"ALIC823007"|"Maternità"|24|6|6
"ALIC823007"|"malattia"|7|6|8
"ALIC824003"|"Altri"|2|4|4
"ALIC824003"|"Maternità"|5|6|6
"ALIC824003"|"malattia"|8|6|8
"ALIC82500V"|"Altri"|5|4|4
"ALIC82500V"|"Maternità"|7|6|6
"ALIC82500V"|"malattia"|6|6|8
"ALIS00100E"|"Altri"|7|4|4
"ALIS00100E"|"Maternità"|3|6|6
"ALIS00100E"|"malattia"|7|6|8
"ALIS003006"|"Altri"|13|4|4
"ALIS003006"|"Maternità"|12|6|6
"ALIS003006"|"malattia"|5|6|8
"ALIS004002"|"Altri"|3|4|4
"ALIS004002"|"Maternità"|0|6|6
"ALIS004002"|"malattia"|6|6|8
"ALIS00600N"|"Altri"|7|4|4
"ALIS00600N"|"Maternità"|2|6|6
"ALIS00600N"|"malattia"|8|6|8
"ALIS00700D"|"Altri"|2|4|4
"ALIS00700D"|"Maternità"|3|6|6
"ALIS00700D"|"malattia"|5|6|8
"ALIS008009"|"Altri"|3|4|4
"ALIS008009"|"Maternità"|1|6|6
"ALIS008009"|"malattia"|11|6|8
"ALIS009005"|"Altri"|8|4|4
"ALIS009005"|"Maternità"|4|6|6
"ALIS009005"|"malattia"|5|6|8
"ALIS01300R"|"Altri"|1|4|4
"ALIS01300R"|"Maternità"|0|6|6
"ALIS01300R"|"malattia"|8|6|8
"ALIS01400L"|"Altri"|5|4|4
"ALIS01400L"|"Maternità"|6|6|6
"ALIS01400L"|"malattia"|5|6|8
"ALIS016008"|"Altri"|6|4|4
"ALIS016008"|"Maternità"|4|6|6
"ALIS016008"|"malattia"|5|6|8
"ALIS017004"|"Altri"|3|4|4
"ALIS017004"|"Maternità"|3|6|6
"ALIS017004"|"malattia"|6|6|8
"ALMM081008"|"Altri"|3|4|4
"ALMM081008"|"Maternità"|2|6|6
"ALMM081008"|"malattia"|5|6|8
"ALMM082004"|"Altri"|2|4|4
"ALMM082004"|"Maternità"|0|6|6
"ALMM082004"|"malattia"|5|6|8
"ALMM08300X"|"Altri"|2|4|4
"ALMM08300X"|"Maternità"|10|6|6
"ALMM08300X"|"malattia"|7|6|8
"ALMM08400Q"|"Altri"|5|4|4
"ALMM08400Q"|"Maternità"|3|6|6
"ALMM08400Q"|"malattia"|6|6|8
"ALMM08600B"|"Altri"|2|4|4
"ALMM08600B"|"Maternità"|4|6|6
"ALMM08600B"|"malattia"|5|6|8
"ALMM087007"|"Altri"|3|4|4
"ALMM087007"|"Maternità"|2|6|6
"ALMM087007"|"malattia"|6|6|8
"ALMM08900V"|"Altri"|1|4|4
"ALMM08900V"|"Maternità"|10|6|6
"ALMM08900V"|"malattia"|4|6|8
"ALPS01000P"|"Altri"|4|4|4
"ALPS01000P"|"Maternità"|0|6|6
"ALPS01000P"|"malattia"|6|6|8
"ALPS020009"|"Altri"|2|4|4
"ALPS020009"|"Maternità"|0|6|6
"ALPS020009"|"malattia"|3|6|8
"ALPS050005"|"Altri"|1|4|4
"ALPS050005"|"Maternità"|0|6|6
"ALPS050005"|"malattia"|3|6|8
"ALRI01000X"|"Altri"|3|4|4
"ALRI01000X"|"Maternità"|7|6|6
"ALRI01000X"|"malattia"|5|6|8
"ALTF01000R"|"Altri"|2|4|4
"ALTF01000R"|"Maternità"|0|6|6
"ALTF01000R"|"malattia"|5|6|8
"ALTL010001"|"Altri"|2|4|4
"ALTL010001"|"Maternità"|0|6|6
"ALTL010001"|"malattia"|2|6|8
"ANIC80300L"|"Altri"|4|4|4
"ANIC80300L"|"Maternità"|5|6|6
"ANIC80300L"|"malattia"|7|7|8
"ANIC80400C"|"Altri"|2|4|4
"ANIC80400C"|"Maternità"|8|6|6
"ANIC80400C"|"malattia"|8|7|8
"ANIC805008"|"Altri"|3|4|4
"ANIC805008"|"Maternità"|8|6|6
"ANIC805008"|"malattia"|5|7|8
"ANIC806004"|"Altri"|2|4|4
"ANIC806004"|"Maternità"|18|6|6
"ANIC806004"|"malattia"|6|7|8
"ANIC80700X"|"Altri"|2|4|4
"ANIC80700X"|"Maternità"|8|6|6
"ANIC80700X"|"malattia"|4|7|8
"ANIC80800Q"|"Altri"|4|4|4
"ANIC80800Q"|"Maternità"|9|6|6
"ANIC80800Q"|"malattia"|6|7|8
"ANIC80900G"|"Altri"|6|4|4
"ANIC80900G"|"Maternità"|9|6|6
"ANIC80900G"|"malattia"|5|7|8
"ANIC81000Q"|"Altri"|2|4|4
"ANIC81000Q"|"Maternità"|7|6|6
"ANIC81000Q"|"malattia"|9|7|8
"ANIC81100G"|"Altri"|3|4|4
"ANIC81100G"|"Maternità"|10|6|6
"ANIC81100G"|"malattia"|9|7|8
"ANIC81200B"|"Altri"|4|4|4
"ANIC81200B"|"Maternità"|5|6|6
"ANIC81200B"|"malattia"|10|7|8
"ANIC813007"|"Altri"|3|4|4
"ANIC813007"|"Maternità"|3|6|6
"ANIC813007"|"malattia"|5|7|8
"ANIC814003"|"Altri"|2|4|4
"ANIC814003"|"Maternità"|10|6|6
"ANIC814003"|"malattia"|5|7|8
"ANIC81500V"|"Altri"|6|4|4
"ANIC81500V"|"Maternità"|15|6|6
"ANIC81500V"|"malattia"|10|7|8
"ANIC81600P"|"Altri"|1|4|4
"ANIC81600P"|"Maternità"|3|6|6
"ANIC81600P"|"malattia"|11|7|8
"ANIC81700E"|"Altri"|7|4|4
"ANIC81700E"|"Maternità"|11|6|6
"ANIC81700E"|"malattia"|7|7|8
"ANIC81800A"|"Altri"|6|4|4
"ANIC81800A"|"Maternità"|11|6|6
"ANIC81800A"|"malattia"|8|7|8
"ANIC819006"|"Altri"|5|4|4
"ANIC819006"|"Maternità"|9|6|6
"ANIC819006"|"malattia"|3|7|8
"ANIC82000A"|"Altri"|6|4|4
"ANIC82000A"|"Maternità"|6|6|6
"ANIC82000A"|"malattia"|9|7|8
"ANIC82300T"|"Altri"|5|4|4
"ANIC82300T"|"Maternità"|4|6|6
"ANIC82300T"|"malattia"|6|7|8
"ANIC82400N"|"Altri"|2|4|4
"ANIC82400N"|"Maternità"|16|6|6
"ANIC82400N"|"malattia"|11|7|8
"ANIC82500D"|"Altri"|2|4|4
"ANIC82500D"|"Maternità"|7|6|6
"ANIC82500D"|"malattia"|5|7|8
"ANIC826009"|"Altri"|5|4|4
"ANIC826009"|"Maternità"|10|6|6
"ANIC826009"|"malattia"|9|7|8
"ANIC827005"|"Altri"|4|4|4
"ANIC827005"|"Maternità"|9|6|6
"ANIC827005"|"malattia"|5|7|8
"ANIC828001"|"Altri"|6|4|4
"ANIC828001"|"Maternità"|5|6|6
"ANIC828001"|"malattia"|13|7|8
"ANIC82900R"|"Altri"|4|4|4
"ANIC82900R"|"Maternità"|3|6|6
"ANIC82900R"|"malattia"|4|7|8
"ANIC830001"|"Altri"|4|4|4
"ANIC830001"|"Maternità"|8|6|6
"ANIC830001"|"malattia"|8|7|8
"ANIC83100R"|"Altri"|2|4|4
"ANIC83100R"|"Maternità"|11|6|6
"ANIC83100R"|"malattia"|9|7|8
"ANIC83200L"|"Altri"|1|4|4
"ANIC83200L"|"Maternità"|14|6|6
"ANIC83200L"|"malattia"|8|7|8
"ANIC83300C"|"Altri"|2|4|4
"ANIC83300C"|"Maternità"|2|6|6
"ANIC83300C"|"malattia"|5|7|8
"ANIC834008"|"Altri"|3|4|4
"ANIC834008"|"Maternità"|2|6|6
"ANIC834008"|"malattia"|5|7|8
"ANIC835004"|"Altri"|7|4|4
"ANIC835004"|"Maternità"|19|6|6
"ANIC835004"|"malattia"|9|7|8
"ANIC83600X"|"Altri"|3|4|4
"ANIC83600X"|"Maternità"|15|6|6
"ANIC83600X"|"malattia"|6|7|8
"ANIC83700Q"|"Altri"|4|4|4
"ANIC83700Q"|"Maternità"|6|6|6
"ANIC83700Q"|"malattia"|11|7|8
"ANIC83800G"|"Altri"|1|4|4
"ANIC83800G"|"Maternità"|9|6|6
"ANIC83800G"|"malattia"|8|7|8
"ANIC83900B"|"Altri"|5|4|4
"ANIC83900B"|"Maternità"|7|6|6
"ANIC83900B"|"malattia"|3|7|8
"ANIC84000G"|"Altri"|2|4|4
"ANIC84000G"|"Maternità"|6|6|6
"ANIC84000G"|"malattia"|4|7|8
"ANIC84100B"|"Altri"|1|4|4
"ANIC84100B"|"Maternità"|7|6|6
"ANIC84100B"|"malattia"|12|7|8
"ANIC842007"|"Altri"|2|4|4
