codice_scuola|classi|descrizione_indirizzo
"AGEE83203G"|2|"27 ore settimanali"
"AGEE833019"|1|"27 ore settimanali"
"AGEE834015"|5|"27 ore settimanali"
"AGEE835011"|2|"da 28 a 30 ore settimanali"
"AGEE83601R"|3|"da 28 a 30 ore settimanali"
"AGEE83701L"|1|"27 ore settimanali"
"AGEE83802D"|1|"da 28 a 30 ore settimanali"
"AGEE83803E"|1|"da 28 a 30 ore settimanali"
"AGEE83804G"|1|"da 28 a 30 ore settimanali"
"AGEE839018"|2|"da 28 a 30 ore settimanali"
"AGEE84001C"|2|"da 28 a 30 ore settimanali"
"AGEE841018"|3|"27 ore settimanali"
"AGEE842014"|1|"27 ore settimanali"
"AGEE84301X"|2|"da 28 a 30 ore settimanali"
"AGEE84401Q"|1|"24 ore settimanali"
"AGEE84501G"|3|"27 ore settimanali"
"AGEE84601B"|1|"tempo pieno per 40 ore settimanali"
"AGEE84704A"|2|"27 ore settimanali"
"AGEE84705B"|1|"27 ore settimanali"
"AGEE848013"|2|"27 ore settimanali"
"AGEE84901V"|3|"27 ore settimanali"
"AGEE850013"|1|"27 ore settimanali"
"AGEE850024"|2|"27 ore settimanali"
"AGEE85101V"|2|"27 ore settimanali"
"AGEE85102X"|2|"27 ore settimanali"
"AGEE85201P"|2|"da 28 a 30 ore settimanali"
"AGEE85202Q"|2|"da 28 a 30 ore settimanali"
"AGMM004008"|4|"30 ore settimanali"
"AGMM01500P"|8|"30 ore settimanali"
"AGMM01500P"|8|"da 31 a 33 ore settimanali"
"AGMM03800B"|5|"30 ore settimanali"
"AGMM054009"|10|"30 ore settimanali"
"AGMM06700B"|6|"30 ore settimanali"
"AGMM07200V"|12|"30 ore settimanali"
"AGMM805014"|2|"tempo prolungato a 36 ore settimanali"
"AGMM805025"|1|"tempo prolungato a 36 ore settimanali"
"AGMM80601X"|3|"tempo prolungato a 36 ore settimanali"
"AGMM80701Q"|2|"30 ore settimanali"
"AGMM80702R"|1|"tempo prolungato a 36 ore settimanali"
"AGMM80801G"|4|"30 ore settimanali"
"AGMM80901B"|2|"da 31 a 33 ore settimanali"
"AGMM81001G"|4|"30 ore settimanali"
"AGMM81002L"|1|"30 ore settimanali"
"AGMM812017"|2|"30 ore settimanali"
"AGMM812028"|1|"30 ore settimanali"
"AGMM813013"|3|"30 ore settimanali"
"AGMM81401V"|3|"tempo prolungato a 36 ore settimanali"
"AGMM81501P"|2|"30 ore settimanali"
"AGMM81701A"|4|"30 ore settimanali"
"AGMM818016"|3|"30 ore settimanali"
"AGMM818016"|3|"da 31 a 33 ore settimanali"
"AGMM819012"|2|"30 ore settimanali"
"AGMM820016"|3|"30 ore settimanali"
"AGMM821012"|3|"30 ore settimanali"
"AGMM82201T"|6|"30 ore settimanali"
"AGMM82301N"|6|"30 ore settimanali"
"AGMM82302P"|1|"30 ore settimanali"
"AGMM82401D"|4|"30 ore settimanali"
"AGMM825019"|4|"30 ore settimanali"
"AGMM826015"|1|"tempo prolungato a 36 ore settimanali"
"AGMM826026"|1|"tempo prolungato a 36 ore settimanali"
"AGMM826037"|1|"tempo prolungato a 36 ore settimanali"
"AGMM827011"|3|"30 ore settimanali"
"AGMM82801R"|4|"30 ore settimanali"
"AGMM82801R"|1|"da 31 a 33 ore settimanali"
"AGMM82901L"|5|"30 ore settimanali"
"AGMM83001R"|7|"30 ore settimanali"
"AGMM83101L"|7|"30 ore settimanali"
"AGMM83101L"|7|"da 31 a 33 ore settimanali"
"AGMM83201C"|3|"30 ore settimanali"
"AGMM83201C"|3|"da 31 a 33 ore settimanali"
"AGMM833018"|7|"30 ore settimanali"
"AGMM834014"|5|"30 ore settimanali"
"AGMM83501X"|2|"30 ore settimanali"
"AGMM83601Q"|6|"30 ore settimanali"
"AGMM83601Q"|2|"da 31 a 33 ore settimanali"
"AGMM83701G"|3|"30 ore settimanali"
"AGMM83701G"|3|"da 31 a 33 ore settimanali"
"AGMM83702L"|1|"30 ore settimanali"
"AGMM83702L"|1|"da 31 a 33 ore settimanali"
"AGMM83801B"|5|"30 ore settimanali"
"AGMM839017"|5|"30 ore settimanali"
"AGMM84001B"|4|"30 ore settimanali"
"AGMM841017"|7|"30 ore settimanali"
"AGMM842013"|5|"tempo prolungato a 36 ore settimanali"
"AGMM842024"|1|"tempo prolungato a 36 ore settimanali"
"AGMM84301V"|6|"tempo prolungato a 36 ore settimanali"
"AGMM84501E"|6|"30 ore settimanali"
"AGMM84601A"|5|"da 31 a 33 ore settimanali"
"AGMM84603C"|1|"tempo prolungato a 36 ore settimanali"
"AGMM847016"|3|"30 ore settimanali"
"AGMM848012"|5|"30 ore settimanali"
"AGMM84901T"|4|"30 ore settimanali"
"AGMM850012"|1|"30 ore settimanali"
"AGMM85101T"|4|"30 ore settimanali"
"AGMM85201N"|4|"30 ore settimanali"
"AGPC001017"|4|"CLASSICO"
"AGPC008012"|5|"CLASSICO"
"AGPC010001"|6|"CLASSICO"
"AGPC02000G"|1|"CLASSICO"
"AGPC02000G"|2|"SCIENTIFICO"
"AGPC02000G"|1|"LINGUISTICO"
"AGPC060002"|2|"CLASSICO"
"AGPC060002"|4|"SCIENTIFICO"
"AGPC060002"|2|"SCIENZE UMANE"
"AGPM002017"|1|"SCIENZE UMANE"
"AGPM002017"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"AGPM010005"|2|"CLASSICO"
"AGPM010005"|1|"SCIENZE UMANE"
"AGPM010005"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"AGPM010005"|3|"V.O. SCIENTIFICO"
"AGPM02000Q"|4|"SCIENTIFICO"
"AGPM02000Q"|2|"SCIENZE UMANE"
"AGPM03000A"|4|"SCIENTIFICO"
"AGPM03000A"|5|"SCIENZE UMANE"
"AGPM060006"|3|"SCIENTIFICO"
"AGPM060006"|2|"SCIENZE UMANE"
"AGPS00101A"|6|"SCIENTIFICO"
"AGPS002016"|2|"SCIENTIFICO"
"AGPS002027"|2|"SCIENTIFICO"
"AGPS008015"|2|"SCIENTIFICO"
"AGPS02000P"|6|"SCIENTIFICO"
"AGPS02000P"|1|"LINGUISTICO"
"AGPS02000P"|1|"SCIENZE UMANE"
"AGPS030009"|11|"SCIENTIFICO"
"AGPS030009"|2|"LINGUISTICO"
"AGPS05000E"|7|"SCIENTIFICO"
"AGPS060005"|5|"SCIENTIFICO"
"AGPS08000A"|3|"V.O. SCIENTIFICO"
"AGRA00301G"|1|"SERVIZI PER L'AGRICOLTURA E LO SVILUPPO RURALE"
"AGRC01000L"|3|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGRC01000L"|2|"SERVIZI COMMERCIALI"
"AGRC01001N"|1|"SERVIZI COMMERCIALI"
"AGRC01005T"|1|"SERVIZI COMMERCIALI"
"AGRC01601L"|2|"SERVIZI COMMERCIALI"
"AGRC01602N"|2|"SERVIZI COMMERCIALI"
"AGRH01201E"|8|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGRH01301A"|8|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGRH02000C"|9|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGRH02001D"|3|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGRI00601P"|1|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI010009"|2|"SERVIZI SOCIO-SANITARI"
"AGRI010009"|2|"SERVIZI SOCIO-SANITARI - ODONTOTECNICO"
"AGRI010009"|6|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI010009"|1|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"AGRI010009"|1|"CHIMICA, MATERIALI E BIOTECNOLOGIE - BIENNIO COMUNE"
"AGRI011016"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI011016"|5|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"AGRI02000X"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI02000X"|1|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"AGRI040005"|1|"SERVIZI SOCIO-SANITARI"
"AGRI040005"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI040005"|1|"PRODUZIONI INDUSTRIALI E ARTIGIANALI  - BIENNIO COMUNE"
"AGRI040016"|1|"SERVIZI SOCIO-SANITARI"
"AGRI040016"|1|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI040027"|1|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI040027"|2|"ELETTRONICA ED ELETTROTECNICA - BIENNIO COMUNE"
"AGRI090006"|1|"SERVIZI SOCIO-SANITARI"
"AGRI090006"|5|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGRI090017"|1|"SERVIZI SOCIO-SANITARI"
"AGRI090017"|2|"MANUTENZIONE E ASSISTENZA TECNICA"
"AGSD01000E"|4|"ARTISTICO NUOVO ORDINAMENTO - BIENNIO COMUNE"
"AGTA012016"|1|"AGRARIA, AGROALIMENTARE E AGROINDUSTRIA - BIENNIO COMUNE"
"AGTD00301T"|3|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD00302V"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD006019"|1|"ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA - BIENNIO  COMUNE"
"AGTD01301C"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD01351T"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD014018"|3|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD01601X"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD016519"|1|"V.O. TECNICO COMMERCIALE"
"AGTD02000E"|6|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD02000E"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"AGTD030005"|1|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD030005"|3|"TURISMO"
"AGTD030005"|1|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"AGTD03050E"|1|"V.O. TECNICO COMMERCIALE"
"AGTD09000R"|4|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTD09000R"|2|"TURISMO"
"AGTD09000R"|2|"INFORMATICA E TELECOMUNICAZIONI - BIENNIO COMUNE"
"AGTD09001T"|2|"AMMINISTRAZIONE FINANZA E MARKETING - BIENNIO COMUNE"
"AGTL011017"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"AGTL01401P"|2|"COSTRUZIONI, AMBIENTE E TERRITORIO - BIENNIO COMUNE"
"ALEE00101D"|4|"tempo pieno per 40 ore settimanali"
"ALEE00103G"|1|"27 ore settimanali"
"ALEE00105N"|1|"27 ore settimanali"
"ALEE003015"|1|"27 ore settimanali"
"ALEE003015"|2|"tempo pieno per 40 ore settimanali"
"ALEE003037"|2|"tempo pieno per 40 ore settimanali"
"ALEE004011"|1|"tempo pieno per 40 ore settimanali"
"ALEE004022"|2|"tempo pieno per 40 ore settimanali"
"ALEE004033"|1|"da 28 a 30 ore settimanali"
"ALEE004044"|1|"da 28 a 30 ore settimanali"
"ALEE00701C"|1|"da 28 a 30 ore settimanali"
"ALEE00701C"|1|"tempo pieno per 40 ore settimanali"
"ALEE00702D"|1|"27 ore settimanali"
"ALEE00702D"|1|"tempo pieno per 40 ore settimanali"
"ALEE00705L"|1|"da 28 a 30 ore settimanali"
"ALEE00709R"|1|"da 28 a 30 ore settimanali"
"ALEE010018"|1|"da 28 a 30 ore settimanali"
"ALEE010018"|2|"tempo pieno per 40 ore settimanali"
"ALEE011014"|2|"27 ore settimanali"
"ALEE011014"|1|"da 28 a 30 ore settimanali"
"ALEE011025"|1|"27 ore settimanali"
"ALEE011036"|1|"27 ore settimanali"
"ALEE01108B"|1|"27 ore settimanali"
"ALEE01109C"|1|"27 ore settimanali"
"ALEE01402L"|2|"27 ore settimanali"
"ALEE01402L"|2|"tempo pieno per 40 ore settimanali"
"ALEE01403N"|1|"27 ore settimanali"
"ALEE016017"|1|"27 ore settimanali"
"ALEE016017"|1|"tempo pieno per 40 ore settimanali"
"ALEE016028"|1|"27 ore settimanali"
"ALEE016028"|1|"tempo pieno per 40 ore settimanali"
"ALEE01604A"|1|"27 ore settimanali"
"ALEE017013"|1|"27 ore settimanali"
"ALEE017024"|2|"tempo pieno per 40 ore settimanali"
"ALEE017035"|1|"tempo pieno per 40 ore settimanali"
"ALEE017079"|1|"27 ore settimanali"
"ALEE02301A"|1|"27 ore settimanali"
"ALEE02301A"|1|"da 28 a 30 ore settimanali"
"ALEE02301A"|2|"tempo pieno per 40 ore settimanali"
"ALEE02304D"|1|"27 ore settimanali"
"ALEE024016"|1|"da 28 a 30 ore settimanali"
"ALEE024038"|1|"da 28 a 30 ore settimanali"
"ALEE02408D"|1|"da 28 a 30 ore settimanali"
"ALEE02409E"|1|"tempo pieno per 40 ore settimanali"
"ALEE025034"|2|"27 ore settimanali"
"ALEE025034"|1|"tempo pieno per 40 ore settimanali"
"ALEE025045"|1|"27 ore settimanali"
"ALEE025045"|1|"tempo pieno per 40 ore settimanali"
"ALEE02702P"|1|"da 28 a 30 ore settimanali"
"ALEE02705T"|1|"da 28 a 30 ore settimanali"
"ALEE02717B"|1|"da 28 a 30 ore settimanali"
"ALEE02720G"|2|"da 28 a 30 ore settimanali"
"ALEE033011"|1|"27 ore settimanali"
"ALEE033033"|2|"27 ore settimanali"
"ALEE033033"|1|"tempo pieno per 40 ore settimanali"
"ALEE033066"|1|"27 ore settimanali"
"ALEE034062"|3|"da 28 a 30 ore settimanali"
"ALEE034073"|1|"da 28 a 30 ore settimanali"
"ALEE034129"|1|"da 28 a 30 ore settimanali"
"ALEE03501L"|2|"27 ore settimanali"
"ALEE03502N"|2|"27 ore settimanali"
"ALEE03502N"|1|"tempo pieno per 40 ore settimanali"
"ALEE03601C"|2|"27 ore settimanali"
"ALEE03603E"|3|"27 ore settimanali"
"ALEE03603E"|1|"tempo pieno per 40 ore settimanali"
"ALEE037018"|1|"27 ore settimanali"
"ALEE03703A"|1|"27 ore settimanali"
"ALEE03704B"|2|"27 ore settimanali"
"ALEE03704B"|2|"tempo pieno per 40 ore settimanali"
"ALEE80501Q"|1|"da 28 a 30 ore settimanali"
"ALEE80502R"|1|"da 28 a 30 ore settimanali"
"ALEE80504V"|1|"da 28 a 30 ore settimanali"
"ALEE80601G"|1|"27 ore settimanali"
"ALEE80602L"|1|"27 ore settimanali"
"ALEE80603N"|1|"27 ore settimanali"
"ALEE80604P"|1|"27 ore settimanali"
"ALEE80606R"|2|"27 ore settimanali"
"ALEE80607T"|1|"27 ore settimanali"
"ALEE80608V"|1|"27 ore settimanali"
"ALEE80701B"|1|"27 ore settimanali"
"ALEE80701B"|1|"tempo pieno per 40 ore settimanali"
"ALEE80702C"|2|"27 ore settimanali"
"ALEE80703D"|1|"tempo pieno per 40 ore settimanali"
"ALEE808017"|1|"27 ore settimanali"
"ALEE808028"|1|"27 ore settimanali"
"ALEE808039"|1|"da 28 a 30 ore settimanali"
"ALEE80804A"|1|"27 ore settimanali"
"ALEE809013"|1|"27 ore settimanali"
"ALEE809024"|1|"27 ore settimanali"
"ALEE809035"|1|"27 ore settimanali"
"ALEE809046"|1|"27 ore settimanali"
"ALEE810017"|1|"da 28 a 30 ore settimanali"
"ALEE810028"|1|"da 28 a 30 ore settimanali"
"ALEE810039"|1|"da 28 a 30 ore settimanali"
"ALEE81004A"|1|"da 28 a 30 ore settimanali"
"ALEE811013"|1|"da 28 a 30 ore settimanali"
"ALEE811024"|1|"da 28 a 30 ore settimanali"
"ALEE811035"|1|"da 28 a 30 ore settimanali"
"ALEE811046"|1|"da 28 a 30 ore settimanali"
"ALEE811057"|1|"24 ore settimanali"
"ALEE81201V"|1|"27 ore settimanali"
"ALEE81202X"|2|"27 ore settimanali"
"ALEE812031"|1|"27 ore settimanali"
"ALEE812042"|1|"27 ore settimanali"
"ALEE812053"|1|"27 ore settimanali"
"ALEE812064"|1|"27 ore settimanali"
"ALEE81301P"|1|"27 ore settimanali"
"ALEE81301P"|1|"tempo pieno per 40 ore settimanali"
"ALEE81402G"|1|"da 28 a 30 ore settimanali"
"ALEE81403L"|1|"da 28 a 30 ore settimanali"
"ALEE81404N"|1|"da 28 a 30 ore settimanali"
"ALEE81405P"|1|"da 28 a 30 ore settimanali"
"ALEE81501A"|2|"tempo pieno per 40 ore settimanali"
"ALEE81502B"|2|"tempo pieno per 40 ore settimanali"
"ALEE81503C"|1|"27 ore settimanali"
"ALEE816016"|2|"27 ore settimanali"
"ALEE816027"|1|"27 ore settimanali"
"ALEE816038"|1|"da 28 a 30 ore settimanali"
"ALEE816049"|1|"27 ore settimanali"
"ALEE81605A"|1|"da 28 a 30 ore settimanali"
"ALEE81606B"|1|"da 28 a 30 ore settimanali"
"ALEE817012"|2|"24 ore settimanali"
"ALEE817023"|1|"27 ore settimanali"
"ALEE817034"|1|"da 28 a 30 ore settimanali"
"ALEE817045"|1|"27 ore settimanali"
"ALEE817056"|1|"27 ore settimanali"
"ALEE81801T"|2|"27 ore settimanali"
"ALEE81802V"|1|"27 ore settimanali"
"ALEE818041"|1|"27 ore settimanali"
"ALEE818052"|1|"27 ore settimanali"
"ALEE818063"|1|"27 ore settimanali"
"ALEE818074"|1|"27 ore settimanali"
"ALEE81901N"|3|"27 ore settimanali"
"ALEE82001T"|2|"27 ore settimanali"
"ALEE82002V"|1|"da 28 a 30 ore settimanali"
"ALEE82003X"|1|"da 28 a 30 ore settimanali"
"ALEE820041"|1|"da 28 a 30 ore settimanali"
"ALEE82101N"|1|"27 ore settimanali"
"ALEE82101N"|2|"tempo pieno per 40 ore settimanali"
"ALEE82102P"|1|"27 ore settimanali"
"ALEE82201D"|1|"27 ore settimanali"
"ALEE82202E"|1|"27 ore settimanali"
"ALEE82203G"|1|"27 ore settimanali"
"ALEE82204L"|1|"27 ore settimanali"
"ALEE82205N"|1|"27 ore settimanali"
"ALEE823019"|1|"27 ore settimanali"
"ALEE82303B"|1|"27 ore settimanali"
"ALEE82305D"|1|"27 ore settimanali"
"ALEE82306E"|1|"27 ore settimanali"
"ALEE82307G"|1|"27 ore settimanali"
"ALEE82308L"|1|"27 ore settimanali"
"ALEE824015"|1|"27 ore settimanali"
"ALEE824015"|1|"tempo pieno per 40 ore settimanali"
"ALEE824026"|1|"27 ore settimanali"
"ALEE825011"|1|"27 ore settimanali"
"ALEE825011"|2|"tempo pieno per 40 ore settimanali"
"ALEE825022"|3|"tempo pieno per 40 ore settimanali"
"ALMM081008"|7|"30 ore settimanali"
"ALMM081008"|2|"da 31 a 33 ore settimanali"
"ALMM082004"|10|"30 ore settimanali"
"ALMM08300X"|9|"30 ore settimanali"
"ALMM08300X"|1|"tempo prolungato a 36 ore settimanali"
"ALMM083011"|1|"30 ore settimanali"
"ALMM08400Q"|9|"30 ore settimanali"
"ALMM08400Q"|1|"da 31 a 33 ore settimanali"
"ALMM08401R"|1|"30 ore settimanali"
"ALMM08401R"|1|"tempo prolungato a 36 ore settimanali"
"ALMM08600B"|13|"30 ore settimanali"
"ALMM08601C"|1|"30 ore settimanali"
"ALMM08601C"|1|"tempo prolungato a 36 ore settimanali"
"ALMM08602D"|1|"30 ore settimanali"
"ALMM087007"|10|"30 ore settimanali"
"ALMM08900V"|7|"30 ore settimanali"
"ALMM08900V"|3|"da 31 a 33 ore settimanali"
"ALMM80501P"|1|"30 ore settimanali"
"ALMM80501P"|1|"tempo prolungato da 37 a 40 ore settimanali"
"ALMM80502Q"|1|"tempo prolungato a 36 ore settimanali"
"ALMM80601E"|2|"tempo prolungato da 37 a 40 ore settimanali"
"ALMM80602G"|2|"tempo prolungato da 37 a 40 ore settimanali"
"ALMM80701A"|2|"30 ore settimanali"
"ALMM80701A"|2|"tempo prolungato a 36 ore settimanali"
"ALMM80702B"|2|"30 ore settimanali"
"ALMM808016"|1|"30 ore settimanali"
"ALMM808027"|1|"30 ore settimanali"
"ALMM809012"|1|"30 ore settimanali"
"ALMM809012"|1|"tempo prolungato a 36 ore settimanali"
"ALMM809023"|2|"30 ore settimanali"
"ALMM810016"|1|"30 ore settimanali"
"ALMM810027"|2|"30 ore settimanali"
"ALMM811012"|1|"tempo prolungato a 36 ore settimanali"
"ALMM811023"|2|"30 ore settimanali"
"ALMM81201T"|2|"30 ore settimanali"
"ALMM81202V"|1|"30 ore settimanali"
"ALMM812041"|1|"30 ore settimanali"
"ALMM81301N"|3|"30 ore settimanali"
"ALMM81401D"|1|"30 ore settimanali"
"ALMM81401D"|1|"tempo prolungato a 36 ore settimanali"
"ALMM81402E"|2|"30 ore settimanali"
"ALMM81403G"|1|"30 ore settimanali"
"ALMM815019"|5|"30 ore settimanali"
"ALMM815019"|1|"da 31 a 33 ore settimanali"
"ALMM815019"|1|"tempo prolungato a 36 ore settimanali"
"ALMM816015"|1|"30 ore settimanali"
"ALMM816015"|2|"tempo prolungato a 36 ore settimanali"
"ALMM816026"|1|"30 ore settimanali"
"ALMM816037"|1|"30 ore settimanali"
"ALMM817011"|5|"30 ore settimanali"
"ALMM81801R"|2|"30 ore settimanali"
"ALMM81802T"|1|"30 ore settimanali"
"ALMM81803V"|1|"30 ore settimanali"
"ALMM81901L"|2|"30 ore settimanali"
"ALMM82001R"|1|"30 ore settimanali"
"ALMM82002T"|1|"30 ore settimanali"
"ALMM82002T"|1|"tempo prolungato a 36 ore settimanali"
"ALMM82101L"|3|"30 ore settimanali"
"ALMM82101L"|2|"tempo prolungato a 36 ore settimanali"
"ALMM82102N"|1|"30 ore settimanali"
"ALMM82103P"|1|"30 ore settimanali"
"ALMM82201C"|1|"30 ore settimanali"
"ALMM82201C"|1|"tempo prolungato a 36 ore settimanali"
"ALMM82202D"|2|"30 ore settimanali"
"ALMM823018"|1|"30 ore settimanali"
"ALMM824014"|4|"30 ore settimanali"
"ALMM824014"|1|"tempo prolungato a 36 ore settimanali"
"ALMM824025"|2|"30 ore settimanali"
"ALMM82501X"|2|"30 ore settimanali"
"ALPC00901C"|2|"CLASSICO"
"ALPC00901C"|2|"LINGUISTICO"
"ALPC00901C"|2|"SCIENZE UMANE"
"ALPC00901C"|1|"SCIENZE UMANE  - OPZIONE ECONOMICO SOCIALE"
"ALPC01601G"|3|"CLASSICO"
"ALPM01601Q"|4|"LINGUISTICO"
"ALPM01601Q"|2|"SCIENZE UMANE"
