codscu|area_didattica|immatricolati
"AGPC02000G"|"LINGUISTICA"|"3.4"
"AGPC02000G"|"MEDICA"|"10.1"
"AGPC02000G"|"ARCHITETTURA"|"3.4"
"AGPC02000G"|"AGRARIO"|"6.7"
"AGPC02000G"|"INSEGNAMENTO"|"2.2"
"AGPC060002"|"INGEGNERIA"|"11.1"
"AGPC060002"|"ECONOMICO-STATISTICA"|"7.1"
"AGPC060002"|"POLITICO-SOCIALE"|"10.1"
"AGPC060002"|"GEO-BIOLOGICA"|"13.1"
"AGPC060002"|"CHIMICO-FARMACEUTICA"|"2"
"AGPC060002"|"EDUCAZIONE FISICA"|"1"
"AGPC060002"|"LETTERARIA"|"8.1"
"AGPC060002"|"PSICOLOGICA"|"2"
"AGPC060002"|"GIURIDICA"|"25.3"
"AGPC060002"|"LINGUISTICA"|"6.1"
"AGPC060002"|"MEDICA"|"11.1"
"AGPC060002"|"ARCHITETTURA"|"1"
"AGPC060002"|"INSEGNAMENTO"|"2"
"AGPM002017"|"POLITICO-SOCIALE"|"25"
"AGPM002017"|"GEO-BIOLOGICA"|"6.3"
"AGPM002017"|"LETTERARIA"|"6.3"
"AGPM002017"|"GIURIDICA"|"12.5"
"AGPM002017"|"LINGUISTICA"|"6.3"
"AGPM002017"|"MEDICA"|"12.5"
"AGPM002017"|"ARCHITETTURA"|"12.5"
"AGPM002017"|"AGRARIO"|"6.3"
"AGPM002017"|"INSEGNAMENTO"|"12.5"
"AGPM010005"|"INGEGNERIA"|"16"
"AGPM010005"|"ECONOMICO-STATISTICA"|"6.7"
"AGPM010005"|"POLITICO-SOCIALE"|"10.7"
"AGPM010005"|"GEO-BIOLOGICA"|"8"
"AGPM010005"|"CHIMICO-FARMACEUTICA"|"2.7"
"AGPM010005"|"EDUCAZIONE FISICA"|"1.3"
"AGPM010005"|"LETTERARIA"|"6.7"
"AGPM010005"|"PSICOLOGICA"|"2.7"
"AGPM010005"|"GIURIDICA"|"18.7"
"AGPM010005"|"LINGUISTICA"|"1.3"
"AGPM010005"|"MEDICA"|"16"
"AGPM010005"|"ARCHITETTURA"|"1.3"
"AGPM010005"|"AGRARIO"|"2.7"
"AGPM010005"|"INSEGNAMENTO"|"5.3"
"AGPM02000Q"|"INGEGNERIA"|"14.1"
"AGPM02000Q"|"ECONOMICO-STATISTICA"|"5.9"
"AGPM02000Q"|"SCIENTIFICA"|"1.2"
"AGPM02000Q"|"POLITICO-SOCIALE"|"10.6"
"AGPM02000Q"|"GEO-BIOLOGICA"|"2.4"
"AGPM02000Q"|"CHIMICO-FARMACEUTICA"|"2.4"
"AGPM02000Q"|"EDUCAZIONE FISICA"|"3.5"
"AGPM02000Q"|"LETTERARIA"|"3.5"
"AGPM02000Q"|"PSICOLOGICA"|"2.4"
"AGPM02000Q"|"GIURIDICA"|"25.9"
"AGPM02000Q"|"LINGUISTICA"|"3.5"
"AGPM02000Q"|"MEDICA"|"10.6"
"AGPM02000Q"|"ARCHITETTURA"|"2.4"
"AGPM02000Q"|"AGRARIO"|"1.2"
"AGPM02000Q"|"INSEGNAMENTO"|"10.6"
"AGPM03000A"|"INGEGNERIA"|"17.7"
"AGPM03000A"|"ECONOMICO-STATISTICA"|"5.3"
"AGPM03000A"|"POLITICO-SOCIALE"|"12.4"
"AGPM03000A"|"GEO-BIOLOGICA"|"10.6"
"AGPM03000A"|"CHIMICO-FARMACEUTICA"|"2.7"
"AGPM03000A"|"EDUCAZIONE FISICA"|"1.8"
"AGPM03000A"|"LETTERARIA"|"7.1"
"AGPM03000A"|"PSICOLOGICA"|"4.4"
"AGPM03000A"|"GIURIDICA"|"17.7"
"AGPM03000A"|"LINGUISTICA"|".9"
"AGPM03000A"|"MEDICA"|"6.2"
"AGPM03000A"|"ARCHITETTURA"|"6.2"
"AGPM03000A"|"AGRARIO"|"1.8"
"AGPM03000A"|"INSEGNAMENTO"|"5.3"
"AGPM060006"|"INGEGNERIA"|"3.4"
"AGPM060006"|"ECONOMICO-STATISTICA"|"18.6"
"AGPM060006"|"SCIENTIFICA"|"1.7"
"AGPM060006"|"POLITICO-SOCIALE"|"8.5"
"AGPM060006"|"GEO-BIOLOGICA"|"3.4"
"AGPM060006"|"CHIMICO-FARMACEUTICA"|"6.8"
"AGPM060006"|"EDUCAZIONE FISICA"|"1.7"
"AGPM060006"|"LETTERARIA"|"11.9"
"AGPM060006"|"PSICOLOGICA"|"1.7"
"AGPM060006"|"GIURIDICA"|"6.8"
"AGPM060006"|"LINGUISTICA"|"1.7"
"AGPM060006"|"MEDICA"|"23.7"
"AGPM060006"|"INSEGNAMENTO"|"10.2"
"AGPS00101A"|"INGEGNERIA"|"19.1"
"AGPS00101A"|"ECONOMICO-STATISTICA"|"7"
"AGPS00101A"|"SCIENTIFICA"|"2.6"
"AGPS00101A"|"POLITICO-SOCIALE"|"4.3"
"AGPS00101A"|"GEO-BIOLOGICA"|"13.9"
"AGPS00101A"|"CHIMICO-FARMACEUTICA"|"7"
"AGPS00101A"|"EDUCAZIONE FISICA"|"1.7"
"AGPS00101A"|"LETTERARIA"|"4.3"
"AGPS00101A"|"PSICOLOGICA"|"5.2"
"AGPS00101A"|"GIURIDICA"|"4.3"
"AGPS00101A"|"LINGUISTICA"|"5.2"
"AGPS00101A"|"MEDICA"|"13"
"AGPS00101A"|"ARCHITETTURA"|"5.2"
"AGPS00101A"|"AGRARIO"|"4.3"
"AGPS00101A"|"INSEGNAMENTO"|"1.7"
"AGPS00101A"|"DIFESA E SICUREZZA"|".9"
"AGPS002016"|"INGEGNERIA"|"11.9"
"AGPS002016"|"ECONOMICO-STATISTICA"|"11.9"
"AGPS002016"|"POLITICO-SOCIALE"|"11.9"
"AGPS002016"|"GEO-BIOLOGICA"|"9.5"
"AGPS002016"|"CHIMICO-FARMACEUTICA"|"2.4"
"AGPS002016"|"EDUCAZIONE FISICA"|"7.1"
"AGPS002016"|"LETTERARIA"|"4.8"
"AGPS002016"|"PSICOLOGICA"|"2.4"
"AGPS002016"|"GIURIDICA"|"14.3"
"AGPS002016"|"LINGUISTICA"|"9.5"
"AGPS002016"|"MEDICA"|"2.4"
"AGPS002016"|"AGRARIO"|"7.1"
"AGPS002016"|"INSEGNAMENTO"|"4.8"
"AGPS002027"|"INGEGNERIA"|"10.7"
"AGPS002027"|"ECONOMICO-STATISTICA"|"3.6"
"AGPS002027"|"SCIENTIFICA"|"3.6"
"AGPS002027"|"GEO-BIOLOGICA"|"7.1"
"AGPS002027"|"CHIMICO-FARMACEUTICA"|"3.6"
"AGPS002027"|"EDUCAZIONE FISICA"|"3.6"
"AGPS002027"|"LETTERARIA"|"7.1"
"AGPS002027"|"GIURIDICA"|"14.3"
"AGPS002027"|"MEDICA"|"28.6"
"AGPS002027"|"ARCHITETTURA"|"10.7"
"AGPS002027"|"AGRARIO"|"3.6"
"AGPS002027"|"INSEGNAMENTO"|"3.6"
"AGPS008015"|"INGEGNERIA"|"5.9"
"AGPS008015"|"ECONOMICO-STATISTICA"|"17.6"
"AGPS008015"|"GEO-BIOLOGICA"|"5.9"
"AGPS008015"|"CHIMICO-FARMACEUTICA"|"17.6"
"AGPS008015"|"GIURIDICA"|"5.9"
"AGPS008015"|"LINGUISTICA"|"11.8"
"AGPS008015"|"ARCHITETTURA"|"11.8"
"AGPS008015"|"AGRARIO"|"11.8"
"AGPS008015"|"INSEGNAMENTO"|"11.8"
"AGPS02000P"|"INGEGNERIA"|"15.4"
"AGPS02000P"|"ECONOMICO-STATISTICA"|"5.8"
"AGPS02000P"|"SCIENTIFICA"|"3.2"
"AGPS02000P"|"POLITICO-SOCIALE"|"7.1"
"AGPS02000P"|"GEO-BIOLOGICA"|"9"
"AGPS02000P"|"CHIMICO-FARMACEUTICA"|"5.8"
"AGPS02000P"|"EDUCAZIONE FISICA"|"3.2"
"AGPS02000P"|"LETTERARIA"|"7.7"
"AGPS02000P"|"PSICOLOGICA"|".6"
"AGPS02000P"|"GIURIDICA"|"10.9"
"AGPS02000P"|"LINGUISTICA"|"3.8"
"AGPS02000P"|"MEDICA"|"13.5"
"AGPS02000P"|"ARCHITETTURA"|"5.1"
"AGPS02000P"|"AGRARIO"|"5.8"
"AGPS02000P"|"INSEGNAMENTO"|"3.2"
"AGPS030009"|"INGEGNERIA"|"15.3"
"AGPS030009"|"ECONOMICO-STATISTICA"|"9.4"
"AGPS030009"|"SCIENTIFICA"|"1.8"
"AGPS030009"|"POLITICO-SOCIALE"|"1.2"
"AGPS030009"|"GEO-BIOLOGICA"|"12.4"
"AGPS030009"|"CHIMICO-FARMACEUTICA"|"10.6"
"AGPS030009"|"EDUCAZIONE FISICA"|"2.4"
"AGPS030009"|"LETTERARIA"|"3.5"
"AGPS030009"|"PSICOLOGICA"|"2.9"
"AGPS030009"|"GIURIDICA"|"9.4"
"AGPS030009"|"LINGUISTICA"|"4.1"
"AGPS030009"|"MEDICA"|"17.1"
"AGPS030009"|"ARCHITETTURA"|"6.5"
"AGPS030009"|"AGRARIO"|"2.4"
"AGPS030009"|"INSEGNAMENTO"|"1.2"
"AGPS05000E"|"INGEGNERIA"|"14.7"
"AGPS05000E"|"ECONOMICO-STATISTICA"|"12"
"AGPS05000E"|"SCIENTIFICA"|"1.3"
"AGPS05000E"|"POLITICO-SOCIALE"|"4"
"AGPS05000E"|"GEO-BIOLOGICA"|"12"
"AGPS05000E"|"CHIMICO-FARMACEUTICA"|"1.3"
"AGPS05000E"|"EDUCAZIONE FISICA"|"1.3"
"AGPS05000E"|"LETTERARIA"|"5.3"
"AGPS05000E"|"PSICOLOGICA"|"1.3"
"AGPS05000E"|"GIURIDICA"|"21.3"
"AGPS05000E"|"LINGUISTICA"|"2.7"
"AGPS05000E"|"MEDICA"|"8"
"AGPS05000E"|"ARCHITETTURA"|"1.3"
"AGPS05000E"|"AGRARIO"|"8"
"AGPS05000E"|"INSEGNAMENTO"|"2.7"
"AGPS05000E"|"DIFESA E SICUREZZA"|"2.7"
"AGPS060005"|"INGEGNERIA"|"13.8"
"AGPS060005"|"ECONOMICO-STATISTICA"|"10.1"
"AGPS060005"|"SCIENTIFICA"|"2.2"
"AGPS060005"|"POLITICO-SOCIALE"|"8.7"
"AGPS060005"|"GEO-BIOLOGICA"|"11.6"
"AGPS060005"|"CHIMICO-FARMACEUTICA"|"2.2"
"AGPS060005"|"EDUCAZIONE FISICA"|"1.4"
"AGPS060005"|"LETTERARIA"|"3.6"
"AGPS060005"|"PSICOLOGICA"|"3.6"
"AGPS060005"|"GIURIDICA"|"19.6"
"AGPS060005"|"LINGUISTICA"|".7"
"AGPS060005"|"MEDICA"|"8.7"
"AGPS060005"|"ARCHITETTURA"|"8.7"
"AGPS060005"|"AGRARIO"|"2.2"
"AGPS060005"|"INSEGNAMENTO"|"1.4"
"AGPS060005"|"DIFESA E SICUREZZA"|"1.4"
"AGPS08000A"|"INGEGNERIA"|"33.3"
"AGPS08000A"|"GIURIDICA"|"33.3"
"AGPS08000A"|"LINGUISTICA"|"33.3"
"AGRA00301G"|"AGRARIO"|"100"
"AGRC01000L"|"INGEGNERIA"|"6.7"
"AGRC01000L"|"ECONOMICO-STATISTICA"|"13.3"
"AGRC01000L"|"POLITICO-SOCIALE"|"6.7"
"AGRC01000L"|"GEO-BIOLOGICA"|"6.7"
"AGRC01000L"|"EDUCAZIONE FISICA"|"6.7"
"AGRC01000L"|"LETTERARIA"|"13.3"
"AGRC01000L"|"PSICOLOGICA"|"6.7"
"AGRC01000L"|"GIURIDICA"|"26.7"
"AGRC01000L"|"LINGUISTICA"|"6.7"
"AGRC01000L"|"MEDICA"|"6.7"
"AGRC01005T"|"GIURIDICA"|"100"
"AGRC01602N"|"ECONOMICO-STATISTICA"|"50"
"AGRC01602N"|"POLITICO-SOCIALE"|"25"
"AGRC01602N"|"LINGUISTICA"|"25"
"AGRH01201E"|"POLITICO-SOCIALE"|"66.7"
"AGRH01201E"|"AGRARIO"|"16.7"
"AGRH01201E"|"INSEGNAMENTO"|"16.7"
"AGRH01301A"|"ECONOMICO-STATISTICA"|"33.3"
"AGRH01301A"|"LINGUISTICA"|"33.3"
"AGRH01301A"|"DIFESA E SICUREZZA"|"33.3"
"AGRH02000C"|"ECONOMICO-STATISTICA"|"28.6"
"AGRH02000C"|"LETTERARIA"|"28.6"
"AGRH02000C"|"LINGUISTICA"|"14.3"
"AGRH02000C"|"MEDICA"|"14.3"
"AGRH02000C"|"AGRARIO"|"14.3"
"AGRI00601P"|"AGRARIO"|"100"
"AGRI010009"|"INGEGNERIA"|"26.7"
"AGRI010009"|"SCIENTIFICA"|"6.7"
"AGRI010009"|"POLITICO-SOCIALE"|"26.7"
"AGRI010009"|"GEO-BIOLOGICA"|"6.7"
"AGRI010009"|"CHIMICO-FARMACEUTICA"|"6.7"
"AGRI010009"|"EDUCAZIONE FISICA"|"26.7"
"AGRI011016"|"INGEGNERIA"|"7.1"
"AGRI011016"|"GEO-BIOLOGICA"|"28.6"
"AGRI011016"|"CHIMICO-FARMACEUTICA"|"21.4"
"AGRI011016"|"GIURIDICA"|"7.1"
"AGRI011016"|"MEDICA"|"35.7"
"AGRI02000X"|"INGEGNERIA"|"100"
"AGRI040005"|"MEDICA"|"100"
"AGRI040027"|"LETTERARIA"|"100"
"AGRI090006"|"POLITICO-SOCIALE"|"100"
"AGSD01000E"|"INGEGNERIA"|"12.5"
"AGSD01000E"|"POLITICO-SOCIALE"|"25"
"AGSD01000E"|"LETTERARIA"|"25"
"AGSD01000E"|"LINGUISTICA"|"12.5"
"AGSD01000E"|"ARCHITETTURA"|"25"
"AGTA012016"|"INGEGNERIA"|"14.3"
"AGTA012016"|"AGRARIO"|"85.7"
"AGTD00301T"|"ECONOMICO-STATISTICA"|"66.7"
"AGTD00301T"|"GEO-BIOLOGICA"|"33.3"
"AGTD00302V"|"ECONOMICO-STATISTICA"|"18.2"
"AGTD00302V"|"POLITICO-SOCIALE"|"27.3"
"AGTD00302V"|"GEO-BIOLOGICA"|"9.1"
"AGTD00302V"|"CHIMICO-FARMACEUTICA"|"9.1"
"AGTD00302V"|"LINGUISTICA"|"18.2"
"AGTD00302V"|"AGRARIO"|"9.1"
"AGTD00302V"|"INSEGNAMENTO"|"9.1"
"AGTD006019"|"INGEGNERIA"|"6.3"
"AGTD006019"|"ECONOMICO-STATISTICA"|"37.5"
"AGTD006019"|"SCIENTIFICA"|"6.3"
"AGTD006019"|"POLITICO-SOCIALE"|"12.5"
"AGTD006019"|"EDUCAZIONE FISICA"|"12.5"
"AGTD006019"|"LINGUISTICA"|"6.3"
"AGTD006019"|"AGRARIO"|"12.5"
"AGTD006019"|"INSEGNAMENTO"|"6.3"
"AGTD01301C"|"ECONOMICO-STATISTICA"|"14.3"
"AGTD01301C"|"GEO-BIOLOGICA"|"14.3"
"AGTD01301C"|"EDUCAZIONE FISICA"|"14.3"
"AGTD01301C"|"GIURIDICA"|"28.6"
"AGTD01301C"|"MEDICA"|"28.6"
"AGTD014018"|"INGEGNERIA"|"22.7"
"AGTD014018"|"ECONOMICO-STATISTICA"|"27.3"
"AGTD014018"|"POLITICO-SOCIALE"|"4.5"
"AGTD014018"|"CHIMICO-FARMACEUTICA"|"9.1"
"AGTD014018"|"LETTERARIA"|"4.5"
"AGTD014018"|"PSICOLOGICA"|"9.1"
"AGTD014018"|"GIURIDICA"|"13.6"
"AGTD014018"|"LINGUISTICA"|"4.5"
"AGTD014018"|"MEDICA"|"4.5"
"AGTD01601X"|"ECONOMICO-STATISTICA"|"40"
"AGTD01601X"|"SCIENTIFICA"|"6.7"
"AGTD01601X"|"CHIMICO-FARMACEUTICA"|"6.7"
"AGTD01601X"|"EDUCAZIONE FISICA"|"6.7"
"AGTD01601X"|"GIURIDICA"|"6.7"
"AGTD01601X"|"ARCHITETTURA"|"6.7"
"AGTD01601X"|"AGRARIO"|"20"
"AGTD01601X"|"INSEGNAMENTO"|"6.7"
"AGTD02000E"|"INGEGNERIA"|"11.1"
"AGTD02000E"|"ECONOMICO-STATISTICA"|"25.9"
"AGTD02000E"|"SCIENTIFICA"|"3.7"
"AGTD02000E"|"EDUCAZIONE FISICA"|"18.5"
"AGTD02000E"|"GIURIDICA"|"7.4"
"AGTD02000E"|"MEDICA"|"11.1"
"AGTD02000E"|"ARCHITETTURA"|"14.8"
"AGTD02000E"|"INSEGNAMENTO"|"7.4"
"AGTD030005"|"INGEGNERIA"|"5.3"
"AGTD030005"|"ECONOMICO-STATISTICA"|"18.4"
"AGTD030005"|"POLITICO-SOCIALE"|"15.8"
"AGTD030005"|"EDUCAZIONE FISICA"|"7.9"
"AGTD030005"|"LETTERARIA"|"2.6"
"AGTD030005"|"GIURIDICA"|"13.2"
"AGTD030005"|"LINGUISTICA"|"15.8"
"AGTD030005"|"MEDICA"|"5.3"
"AGTD030005"|"ARCHITETTURA"|"5.3"
"AGTD030005"|"AGRARIO"|"7.9"
"AGTD030005"|"DIFESA E SICUREZZA"|"2.6"
"AGTD09000R"|"INGEGNERIA"|"13"
"AGTD09000R"|"ECONOMICO-STATISTICA"|"17.4"
"AGTD09000R"|"POLITICO-SOCIALE"|"8.7"
"AGTD09000R"|"GEO-BIOLOGICA"|"13"
"AGTD09000R"|"LETTERARIA"|"8.7"
"AGTD09000R"|"GIURIDICA"|"26.1"
"AGTD09000R"|"LINGUISTICA"|"8.7"
"AGTD09000R"|"INSEGNAMENTO"|"4.3"
"AGTL011017"|"INGEGNERIA"|"42.9"
"AGTL011017"|"POLITICO-SOCIALE"|"28.6"
"AGTL011017"|"GIURIDICA"|"14.3"
"AGTL011017"|"ARCHITETTURA"|"14.3"
"AGTL01401P"|"INGEGNERIA"|"52.9"
"AGTL01401P"|"SCIENTIFICA"|"11.8"
"AGTL01401P"|"POLITICO-SOCIALE"|"5.9"
"AGTL01401P"|"GEO-BIOLOGICA"|"5.9"
"AGTL01401P"|"EDUCAZIONE FISICA"|"5.9"
"AGTL01401P"|"ARCHITETTURA"|"17.6"
"ALPC00901C"|"INGEGNERIA"|"4.3"
"ALPC00901C"|"ECONOMICO-STATISTICA"|"5.3"
"ALPC00901C"|"SCIENTIFICA"|"1.1"
"ALPC00901C"|"POLITICO-SOCIALE"|"13.8"
"ALPC00901C"|"GEO-BIOLOGICA"|"10.6"
"ALPC00901C"|"CHIMICO-FARMACEUTICA"|"3.2"
"ALPC00901C"|"EDUCAZIONE FISICA"|"1.1"
"ALPC00901C"|"LETTERARIA"|"12.8"
"ALPC00901C"|"PSICOLOGICA"|"3.2"
"ALPC00901C"|"GIURIDICA"|"11.7"
"ALPC00901C"|"LINGUISTICA"|"12.8"
"ALPC00901C"|"MEDICA"|"7.4"
"ALPC00901C"|"ARCHITETTURA"|"2.1"
"ALPC00901C"|"INSEGNAMENTO"|"10.6"
"ALPC01601G"|"INGEGNERIA"|"10.4"
"ALPC01601G"|"ECONOMICO-STATISTICA"|"10.4"
"ALPC01601G"|"POLITICO-SOCIALE"|"9"
"ALPC01601G"|"GEO-BIOLOGICA"|"9"
"ALPC01601G"|"CHIMICO-FARMACEUTICA"|"3"
"ALPC01601G"|"LETTERARIA"|"10.4"
"ALPC01601G"|"PSICOLOGICA"|"4.5"
"ALPC01601G"|"GIURIDICA"|"26.9"
"ALPC01601G"|"LINGUISTICA"|"6"
"ALPC01601G"|"MEDICA"|"6"
"ALPC01601G"|"AGRARIO"|"3"
"ALPC01601G"|"INSEGNAMENTO"|"1.5"
"ALPM01601Q"|"INGEGNERIA"|"6.6"
"ALPM01601Q"|"ECONOMICO-STATISTICA"|"2.6"
"ALPM01601Q"|"POLITICO-SOCIALE"|"27.6"
"ALPM01601Q"|"GEO-BIOLOGICA"|"9.2"
"ALPM01601Q"|"EDUCAZIONE FISICA"|"1.3"
"ALPM01601Q"|"LETTERARIA"|"10.5"
"ALPM01601Q"|"PSICOLOGICA"|"1.3"
"ALPM01601Q"|"GIURIDICA"|"9.2"
"ALPM01601Q"|"LINGUISTICA"|"14.5"
"ALPM01601Q"|"MEDICA"|"5.3"
"ALPM01601Q"|"ARCHITETTURA"|"1.3"
"ALPM01601Q"|"INSEGNAMENTO"|"10.5"
"ALPS001011"|"INGEGNERIA"|"14.9"
"ALPS001011"|"ECONOMICO-STATISTICA"|"8"
"ALPS001011"|"SCIENTIFICA"|"5.7"
"ALPS001011"|"POLITICO-SOCIALE"|"3.4"
"ALPS001011"|"GEO-BIOLOGICA"|"11.5"
"ALPS001011"|"CHIMICO-FARMACEUTICA"|"2.3"
"ALPS001011"|"EDUCAZIONE FISICA"|"3.4"
"ALPS001011"|"LETTERARIA"|"5.7"
"ALPS001011"|"PSICOLOGICA"|"2.3"
"ALPS001011"|"GIURIDICA"|"17.2"
"ALPS001011"|"LINGUISTICA"|"9.2"
"ALPS001011"|"MEDICA"|"10.3"
"ALPS001011"|"ARCHITETTURA"|"2.3"
"ALPS001011"|"INSEGNAMENTO"|"3.4"
"ALPS00401C"|"INGEGNERIA"|"11.3"
"ALPS00401C"|"ECONOMICO-STATISTICA"|"7.5"
"ALPS00401C"|"SCIENTIFICA"|"7.5"
"ALPS00401C"|"POLITICO-SOCIALE"|"5.7"
"ALPS00401C"|"GEO-BIOLOGICA"|"22.6"
"ALPS00401C"|"CHIMICO-FARMACEUTICA"|"7.5"
"ALPS00401C"|"LETTERARIA"|"7.5"
"ALPS00401C"|"PSICOLOGICA"|"1.9"
"ALPS00401C"|"GIURIDICA"|"13.2"
"ALPS00401C"|"LINGUISTICA"|"3.8"
"ALPS00401C"|"MEDICA"|"9.4"
"ALPS00401C"|"ARCHITETTURA"|"1.9"
"ALPS00701X"|"INGEGNERIA"|"23.9"
"ALPS00701X"|"ECONOMICO-STATISTICA"|"17.4"
"ALPS00701X"|"SCIENTIFICA"|"6.5"
"ALPS00701X"|"GEO-BIOLOGICA"|"4.3"
"ALPS00701X"|"CHIMICO-FARMACEUTICA"|"2.2"
"ALPS00701X"|"EDUCAZIONE FISICA"|"6.5"
"ALPS00701X"|"LETTERARIA"|"6.5"
"ALPS00701X"|"PSICOLOGICA"|"2.2"
"ALPS00701X"|"GIURIDICA"|"6.5"
"ALPS00701X"|"LINGUISTICA"|"6.5"
"ALPS00701X"|"MEDICA"|"4.3"
"ALPS00701X"|"ARCHITETTURA"|"8.7"
"ALPS00701X"|"AGRARIO"|"2.2"
"ALPS00701X"|"INSEGNAMENTO"|"2.2"
"ALPS00901G"|"INGEGNERIA"|"13"
"ALPS00901G"|"ECONOMICO-STATISTICA"|"14.3"
"ALPS00901G"|"SCIENTIFICA"|"7.8"
"ALPS00901G"|"POLITICO-SOCIALE"|"1.3"
"ALPS00901G"|"GEO-BIOLOGICA"|"16.9"
"ALPS00901G"|"CHIMICO-FARMACEUTICA"|"5.2"
"ALPS00901G"|"EDUCAZIONE FISICA"|"1.3"
"ALPS00901G"|"LETTERARIA"|"1.3"
"ALPS00901G"|"GIURIDICA"|"6.5"
"ALPS00901G"|"LINGUISTICA"|"5.2"
"ALPS00901G"|"MEDICA"|"11.7"
"ALPS00901G"|"ARCHITETTURA"|"6.5"
"ALPS00901G"|"AGRARIO"|"3.9"
"ALPS00901G"|"INSEGNAMENTO"|"5.2"
"ALPS01000P"|"INGEGNERIA"|"15.3"
"ALPS01000P"|"ECONOMICO-STATISTICA"|"12"
"ALPS01000P"|"SCIENTIFICA"|"4"
"ALPS01000P"|"POLITICO-SOCIALE"|"8.7"
"ALPS01000P"|"GEO-BIOLOGICA"|"12.7"
"ALPS01000P"|"CHIMICO-FARMACEUTICA"|"6.7"
"ALPS01000P"|"EDUCAZIONE FISICA"|"3.3"
"ALPS01000P"|"LETTERARIA"|"3.3"
"ALPS01000P"|"PSICOLOGICA"|"2.7"
"ALPS01000P"|"GIURIDICA"|"6"
"ALPS01000P"|"LINGUISTICA"|"6.7"
"ALPS01000P"|"MEDICA"|"8"
"ALPS01000P"|"ARCHITETTURA"|"8.7"
"ALPS01000P"|"AGRARIO"|"2"
"ALPS020009"|"INGEGNERIA"|"16"
"ALPS020009"|"ECONOMICO-STATISTICA"|"13.6"
"ALPS020009"|"SCIENTIFICA"|"4.8"
"ALPS020009"|"POLITICO-SOCIALE"|"8.8"
"ALPS020009"|"GEO-BIOLOGICA"|"8.8"
"ALPS020009"|"CHIMICO-FARMACEUTICA"|"4"
"ALPS020009"|"EDUCAZIONE FISICA"|"2.4"
"ALPS020009"|"LETTERARIA"|"6.4"
"ALPS020009"|"PSICOLOGICA"|"3.2"
"ALPS020009"|"GIURIDICA"|"11.2"
"ALPS020009"|"LINGUISTICA"|"11.2"
"ALPS020009"|"MEDICA"|"7.2"
"ALPS020009"|"ARCHITETTURA"|"2.4"
"ALPS050005"|"INGEGNERIA"|"19.5"
"ALPS050005"|"ECONOMICO-STATISTICA"|"16.5"
"ALPS050005"|"SCIENTIFICA"|"4.5"
"ALPS050005"|"POLITICO-SOCIALE"|"6"
"ALPS050005"|"GEO-BIOLOGICA"|"3"
"ALPS050005"|"CHIMICO-FARMACEUTICA"|"2.3"
"ALPS050005"|"EDUCAZIONE FISICA"|"1.5"
"ALPS050005"|"LETTERARIA"|"8.3"
